Continent,Year,Life.Expectancy,Population,CO2.emissions,Electric.power.consumption,Health.expenditure,GDP.per.capita,Individuals.using.the.Internet,Military.expenditure,People.practicing.open.defecation,People.using.at.least.basic.drinking.water.services,Obesity.among.adults,Beer.consumption.per.capita
Asia,2005,70.02311057,117504799.9,6.77549724,3498.481404,4.22936112,19091.48934,10.56137984,2.840517723,11.07516422,86.42057235,12.40333333,0.444667333
Asia,2006,70.30679268,118899451.8,7.147054207,3587.561225,4.114613605,20415.05337,12.41198239,2.857414233,10.49000766,86.89819761,12.75333333,0.476311667
Asia,2007,70.5854,120270634.1,7.077907272,3686.51347,4.060168552,21280.16972,15.81093874,3.073400822,9.911689036,87.35845267,13.12,0.522921
Asia,2008,70.9129813,121636301,7.127364516,3682.028581,4.187749299,21838.39344,18.87624931,2.912499142,9.338251775,87.82887421,13.51333333,0.550971667
Asia,2009,71.26261057,122995967.6,6.805686133,3621.335849,4.616369502,21246.08181,21.69723333,3.098492204,8.765153569,88.29711024,13.92,0.505064
Asia,2010,71.54741463,124346512.9,6.873507287,3596.108097,4.462737565,21886.64517,26.10082667,2.930467301,8.196484299,88.76229488,14.35,0.590666667
Asia,2011,71.83288455,125728168.3,6.991370405,3755.332081,4.359904166,23063.94237,30.31418474,2.772287334,7.635192464,89.21536218,14.81,0.641
Asia,2012,72.13167724,127167524.7,7.138739234,3786.815633,4.440958178,24195.24855,33.80680367,2.871123856,7.085038621,89.66271717,15.28666667,0.655
Asia,2013,72.42941789,128605351.4,7.060551656,3907.140584,4.583005683,24037.81319,36.43791909,2.938274199,6.539483063,90.10522399,15.78666667,0.667333333
Asia,2014,72.69433659,130022074.5,6.978732446,3949.479757,4.655301567,23428.34918,40.37350744,2.957969296,5.997585599,90.54070648,16.30333333,0.672
Asia,2015,72.92804797,131405948.5,6.867929435,4095.798443,4.879617874,20111.09977,43.76595203,3.244280158,5.475156195,90.96694908,16.86333333,0.674
Europe,2000,74.7854846,18994994.42,7.259847207,5896.809676,6.830235817,18383.68722,17.79798443,1.841486919,0.061563612,97.83865629,17.90526316,3.946067632
Europe,2001,75.08790116,18985512.26,7.477083112,6018.71859,7.029151967,19269.57358,22.05221429,1.939128117,0.058568624,97.88241115,18.27894737,3.893932105
Europe,2002,75.20752439,18987838.79,7.481729081,6144.583376,7.314890951,20255.97181,29.99577205,1.825767717,0.055459604,97.92874822,18.67894737,3.949017368
Europe,2003,75.35506675,19007559.16,7.818348946,6203.948189,7.51311163,20974.27156,35.36563753,1.748711247,0.052717306,97.97278228,19.06842105,3.960798158
Europe,2004,75.79239409,19033945.05,7.855650958,6296.252244,7.570929505,22331.82839,40.09507142,1.681860095,0.046515062,97.99771622,19.48157895,3.960218684
Europe,2005,75.91417073,19061130.11,7.767184556,6421.452762,7.627727167,23553.06146,43.82143681,1.616081771,0.043526897,98.03413344,19.89473684,4.040785789
Europe,2006,76.20519191,19088718.08,7.82466828,6473.35808,7.557745504,26000.65887,47.96026424,1.563544288,0.040351856,98.07103914,20.30789474,4.164526053
Europe,2007,76.41417073,19126605.55,7.797477752,6594.566427,7.527006315,27976.85103,52.29459053,1.526525184,0.03746251,98.1238212,20.72368421,4.235084737
Europe,2008,76.75997689,19169933.24,7.615856821,6657.104337,7.705406057,29681.81445,56.38736842,1.521684601,0.034617664,98.16548451,21.15263158,4.157246579
Europe,2009,77.06658858,19207671.79,6.988112467,6648.925798,8.345078796,28614.90861,60.48473684,1.548033401,0.031818931,98.2141957,21.59736842,3.969448684
Europe,2010,77.40840693,19235720.05,7.309509176,6264.734354,8.212556368,29642.2537,63.75289474,1.465328282,0.029224588,98.26945417,22.03157895,3.887368421
